Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptoms
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches, headache, nausea, abdominal_pain,"['itching', 'skin_rash', 'nodal_skin_eruptions', 'dischromic _patches', 'headache', 'nausea', 'abdominal_pain']"
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches, high_fever, headache, nausea, abdominal_pain,"['skin_rash', 'nodal_skin_eruptions', 'dischromic _patches', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches, high_fever, headache, nausea, abdominal_pain,"['itching', 'nodal_skin_eruptions', 'dischromic _patches', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Fungal infection,itching, skin_rash, dischromic _patches, high_fever, headache, nausea, abdominal_pain,"['itching', 'skin_rash', 'dischromic _patches', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Fungal infection,itching, skin_rash, nodal_skin_eruptions, high_fever, headache, nausea, abdominal_pain,"['itching', 'skin_rash', 'nodal_skin_eruptions', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches, high_fever, headache, nausea, abdominal_pain,"['skin_rash', 'nodal_skin_eruptions', 'dischromic _patches', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches, high_fever, headache, nausea, abdominal_pain,"['itching', 'nodal_skin_eruptions', 'dischromic _patches', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Fungal infection,itching, skin_rash, dischromic _patches, high_fever, headache, nausea, abdominal_pain,"['itching', 'skin_rash', 'dischromic _patches', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Fungal infection,itching, skin_rash, nodal_skin_eruptions, high_fever, headache, nausea, abdominal_pain,"['itching', 'skin_rash', 'nodal_skin_eruptions', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches, headache, nausea, abdominal_pain,"['itching', 'skin_rash', 'nodal_skin_eruptions', 'dischromic _patches', 'headache', 'nausea', 'abdominal_pain']"
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes, headache, nausea, abdominal_pain,"['continuous_sneezing', 'shivering', 'chills', 'watering_from_eyes', 'headache', 'nausea', 'abdominal_pain']"
Allergy, shivering, chills, watering_from_eyes, high_fever, headache, nausea, abdominal_pain,"['shivering', 'chills', 'watering_from_eyes', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Allergy, continuous_sneezing, chills, watering_from_eyes, high_fever, headache, nausea, abdominal_pain,"['continuous_sneezing', 'chills', 'watering_from_eyes', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Allergy, continuous_sneezing, shivering, watering_from_eyes, high_fever, headache, nausea, abdominal_pain,"['continuous_sneezing', 'shivering', 'watering_from_eyes', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Allergy, continuous_sneezing, shivering, chills, high_fever, headache, nausea, abdominal_pain,"['continuous_sneezing', 'shivering', 'chills', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Allergy, shivering, chills, watering_from_eyes, high_fever, headache, nausea, abdominal_pain,"['shivering', 'chills', 'watering_from_eyes', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Allergy, continuous_sneezing, chills, watering_from_eyes, high_fever, headache, nausea, abdominal_pain,"['continuous_sneezing', 'chills', 'watering_from_eyes', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Allergy, continuous_sneezing, shivering, watering_from_eyes, high_fever, headache, nausea, abdominal_pain,"['continuous_sneezing', 'shivering', 'watering_from_eyes', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Allergy, continuous_sneezing, shivering, chills, high_fever, headache, nausea, abdominal_pain,"['continuous_sneezing', 'shivering', 'chills', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes, headache, nausea, abdominal_pain,"['continuous_sneezing', 'shivering', 'chills', 'watering_from_eyes', 'headache', 'nausea', 'abdominal_pain']"
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain, abdominal_pain,"['stomach_pain', 'acidity', 'ulcers_on_tongue', 'vomiting', 'cough', 'chest_pain', 'abdominal_pain']"
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain, nausea, abdominal_pain,"['stomach_pain', 'ulcers_on_tongue', 'vomiting', 'cough', 'chest_pain', 'nausea', 'abdominal_pain']"
GERD, stomach_pain, acidity, vomiting, cough, chest_pain, nausea, abdominal_pain,"['stomach_pain', 'acidity', 'vomiting', 'cough', 'chest_pain', 'nausea', 'abdominal_pain']"
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain, nausea, abdominal_pain,"['stomach_pain', 'acidity', 'ulcers_on_tongue', 'cough', 'chest_pain', 'nausea', 'abdominal_pain']"
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain, nausea, abdominal_pain,"['stomach_pain', 'acidity', 'ulcers_on_tongue', 'vomiting', 'chest_pain', 'nausea', 'abdominal_pain']"
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, nausea, abdominal_pain,"['stomach_pain', 'acidity', 'ulcers_on_tongue', 'vomiting', 'cough', 'nausea', 'abdominal_pain']"
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain, nausea, abdominal_pain,"['acidity', 'ulcers_on_tongue', 'vomiting', 'cough', 'chest_pain', 'nausea', 'abdominal_pain']"
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain, nausea, abdominal_pain,"['stomach_pain', 'ulcers_on_tongue', 'vomiting', 'cough', 'chest_pain', 'nausea', 'abdominal_pain']"
GERD, stomach_pain, acidity, vomiting, cough, chest_pain, nausea, abdominal_pain,"['stomach_pain', 'acidity', 'vomiting', 'cough', 'chest_pain', 'nausea', 'abdominal_pain']"
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain, nausea, abdominal_pain,"['stomach_pain', 'acidity', 'ulcers_on_tongue', 'cough', 'chest_pain', 'nausea', 'abdominal_pain']"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']"
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, abdominal_pain,"['vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes', 'abdominal_pain']"
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, abdominal_pain,"['itching', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes', 'abdominal_pain']"
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, abdominal_pain,"['itching', 'vomiting', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes', 'abdominal_pain']"
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes, abdominal_pain,"['itching', 'vomiting', 'yellowish_skin', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes', 'abdominal_pain']"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes, abdominal_pain,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'abdominal_pain', 'yellowing_of_eyes', 'abdominal_pain']"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, abdominal_pain,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'yellowing_of_eyes', 'abdominal_pain']"
